route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,86,32.375130569280905,77.13782935952501,21.539,3189.0,3266.2,300.0,51.4,17.13,1360.7,0.0
manali_leh,87,32.37768783879922,77.1388477788159,21.839,3201.0,3329.6,300.0,63.4,21.13,1424.1,0.0
manali_leh,88,32.38024510831753,77.13986619810677,22.14,3415.0,3417.4,300.0,87.8,29.27,1511.9,0.0
manali_leh,89,32.382802377835844,77.14088461739765,22.44,3577.0,3541.6,300.0,124.2,41.4,1636.1,0.0
manali_leh,90,32.385359647354164,77.14190303668853,22.74,3705.0,3690.4,300.0,148.8,49.6,1784.9,0.0
manali_leh,91,32.38791691687248,77.1429214559794,23.04,3810.0,3825.4,300.0,135.0,45.0,1919.9,0.0
manali_leh,92,32.39047418639079,77.14393987527028,23.34,3945.0,3960.2,300.0,134.8,44.93,2054.7,0.0
manali_leh,93,32.3930314559091,77.14495829456116,23.64,4090.0,4094.4,300.0,134.2,44.73,2188.9,0.0
manali_leh,94,32.395588725427416,77.14597671385204,23.94,4251.0,4214.8,300.0,120.4,40.13,2309.3,0.0
manali_leh,95,32.39814599494573,77.14699513314292,24.24,4376.0,4322.0,300.0,107.2,35.73,2416.5,0.0
manali_leh,96,32.40070326446404,77.1480135524338,24.54,4412.0,4415.6,300.0,93.6,31.2,2510.1,0.0
manali_leh,97,32.403260533982355,77.14903197172467,24.84,4481.0,4494.0,300.0,78.4,26.13,2588.5,0.0
manali_leh,98,32.40581780350067,77.15005039101555,25.14,4558.0,4582.4,300.0,88.4,29.47,2676.9,0.0
manali_leh,99,32.40837507301898,77.15106881030643,25.44,4643.0,4700.6,300.0,118.2,39.4,2795.1,0.0
manali_leh,100,32.41093234253729,77.15208722959731,25.74,4818.0,4793.8,300.0,93.2,31.07,2888.3,0.0
manali_leh,101,32.413489612055606,77.15310564888819,26.04,5003.0,4826.6,300.0,32.8,10.93,2921.1,0.0
manali_leh,102,32.41604688157392,77.15412406817906,26.34,4947.0,4795.4,300.0,-31.2,-10.4,2921.1,31.2
manali_leh,103,32.41860415109223,77.15514248746994,26.64,4722.0,4705.4,300.0,-90.0,-30.0,2921.1,121.2
manali_leh,104,32.421161420610545,77.15616090676082,26.939,4487.0,4530.2,300.0,-175.2,-58.4,2921.1,296.4
manali_leh,105,32.423718690128865,77.15717932605169,27.239,4368.0,4321.8,300.0,-208.4,-69.47,2921.1,504.8
manali_leh,106,32.42627595964718,77.15819774534258,27.539,4127.0,4117.4,300.0,-204.4,-68.14,2921.1,709.2
manali_leh,107,32.42883322916549,77.15921616463345,27.839,3905.0,3925.4,300.0,-192.0,-64.0,2921.1,901.2
manali_leh,108,32.431390498683804,77.16023458392434,28.139,3700.0,3718.2,300.0,-207.2,-69.07,2921.1,1108.4
manali_leh,109,32.43394776820212,77.16125300321521,28.439,3527.0,3517.4,300.0,-200.8,-66.94,2921.1,1309.2
manali_leh,110,32.43650503772043,77.16227142250608,28.739,3332.0,3347.2,300.0,-170.2,-56.74,2921.1,1479.4
manali_leh,111,32.438920061076,77.16366591911235,29.038,3123.0,3220.0,298.7,-127.2,-42.58,2921.1,1606.6
manali_leh,112,32.43999013667413,77.16588281139484,29.278,3054.0,3127.6,239.7,-92.4,-38.55,2921.1,1699.0
manali_leh,113,32.44175329417199,77.16543793767667,29.478,3064.0,3075.0,200.4,-52.6,-26.24,2921.1,1751.6
manali_leh,114,32.44310024024591,77.16270835194514,29.775,3065.0,3061.6,296.7,-13.4,-4.52,2921.1,1765.0
manali_leh,115,32.44434986749561,77.15987687828974,30.075,3069.0,3064.2,299.8,0.0,0.0,2921.1,1765.0
manali_leh,116,32.446114486454476,77.15760039324616,30.365,3056.0,3063.6,290.1,0.0,0.0,2921.1,1765.0
manali_leh,117,32.448523462327124,77.15617279422142,30.664,3067.0,3061.2,299.5,0.0,0.0,2921.1,1765.0
manali_leh,118,32.4497078166785,77.15341570352511,30.955,3061.0,3059.8,290.3,0.0,0.0,2921.1,1765.0
manali_leh,119,32.451847246760074,77.15158442164787,31.248,3053.0,3059.6,293.5,0.0,0.0,2921.1,1765.0
manali_leh,120,32.45391075050107,77.1498554264461,31.529,3062.0,3059.8,281.0,0.0,0.0,2921.1,1765.0
manali_leh,121,32.45562465096226,77.1474094778166,31.827,3055.0,3059.6,298.3,0.0,0.0,2921.1,1765.0
